Image 	 Size(Bytes) 	 Luminance 	 Contrast 	 AspectRatio 	 Width(Pixels) 	 Red 	 Green 	 Blue 
10101.jpg 	 138537 	 84.8827 	 0.2824 	 0.664444 	 450 	 89.7571 	 83.4068 	 79.6951 
10102.jpg 	 161793 	 91.0992 	 0.6065 	 0.666667 	 450 	 99.5731 	 88.8731 	 80.2954 
10103.jpg 	 132689 	 85.1257 	 0.2806 	 0.664444 	 450 	 95.2068 	 78.8360 	 91.0244 
10104.jpg 	 156652 	 84.8782 	 0.2204 	 0.664444 	 450 	 95.4764 	 75.9289 	 103.1474 
10105.jpg 	 153888 	 74.0701 	 0.4325 	 0.664444 	 450 	 93.2122 	 68.0748 	 54.7617 
10106.jpg 	 129765 	 97.9357 	 0.2570 	 0.664444 	 450 	 120.7884 	 88.7898 	 85.0865 
10107.jpg 	 179723 	 85.8804 	 0.4905 	 0.664444 	 450 	 89.6629 	 84.7451 	 81.7000 
10108.jpg 	 128776 	 92.1876 	 0.1734 	 0.664444 	 450 	 130.7265 	 77.8754 	 64.7157 
10109.jpg 	 125215 	 55.3802 	 0.3409 	 0.664444 	 450 	 65.0095 	 53.3754 	 40.2447 
10110.jpg 	 142628 	 60.1153 	 0.3802 	 0.664444 	 450 	 68.0913 	 58.1111 	 49.4777 
10111.jpg 	 126410 	 94.6336 	 0.2241 	 0.664444 	 450 	 103.5252 	 94.2704 	 73.0999 
10201.jpg 	 159448 	 92.1699 	 0.1400 	 0.664444 	 450 	 65.0793 	 105.7984 	 93.2605 
10202.jpg 	 108006 	 74.2577 	 0.2424 	 0.664444 	 450 	 61.7120 	 81.0670 	 72.1312 
10203.jpg 	 183821 	 101.3715 	 0.4447 	 0.664444 	 450 	 109.8545 	 101.4592 	 78.6026 
10204.jpg 	 160569 	 75.9622 	 0.4095 	 0.664444 	 450 	 66.7890 	 82.3508 	 67.2505 
10205.jpg 	 166925 	 96.8774 	 0.3421 	 0.666667 	 450 	 114.3667 	 92.5247 	 73.4009 
10206.jpg 	 123766 	 59.7222 	 0.1359 	 0.666667 	 450 	 61.1992 	 57.3687 	 68.0413 
10207.jpg 	 166331 	 51.7985 	 0.3513 	 0.666667 	 450 	 90.0893 	 35.4701 	 35.3978 
10301.jpg 	 183205 	 95.1405 	 0.6059 	 0.666667 	 450 	 95.3275 	 95.7630 	 91.4312 
10302.jpg 	 162541 	 69.5797 	 0.4368 	 0.664444 	 450 	 83.9148 	 62.4461 	 68.7263 
10303.jpg 	 143355 	 42.3125 	 0.3773 	 0.666667 	 450 	 55.9410 	 32.6319 	 56.4864 
10304.jpg 	 148679 	 80.6053 	 0.3251 	 0.664444 	 450 	 100.8562 	 74.1326 	 61.0268 
10305.jpg 	 169093 	 58.7540 	 0.5175 	 0.666667 	 450 	 56.4384 	 59.2682 	 62.2628 
10307.jpg 	 164272 	 83.1262 	 0.4292 	 0.664444 	 450 	 91.1690 	 81.6967 	 69.3030 
10308.jpg 	 164598 	 74.3440 	 0.2687 	 0.664444 	 450 	 89.7711 	 65.3257 	 80.3007 
10309.jpg 	 149942 	 66.2414 	 0.4151 	 0.664444 	 450 	 74.1256 	 64.1405 	 56.2352 
10310.jpg 	 106499 	 33.5612 	 0.1615 	 0.666667 	 450 	 45.5896 	 30.2683 	 19.0081 
10311.jpg 	 177364 	 105.0546 	 0.2508 	 0.664444 	 450 	 120.2393 	 102.9079 	 76.2235 
10312.jpg 	 150170 	 79.9981 	 0.4877 	 0.664444 	 450 	 86.8975 	 78.8230 	 67.9260 
10313.jpg 	 132815 	 88.3999 	 0.3437 	 0.664444 	 450 	 100.4679 	 83.9133 	 79.8750 
10314.jpg 	 155223 	 50.7153 	 0.2922 	 0.666667 	 450 	 61.6514 	 47.1864 	 40.1781 
10401.jpg 	 114225 	 168.6487 	 0.1666 	 0.666667 	 450 	 168.1460 	 166.6548 	 180.2694 
10402.jpg 	 109576 	 94.3875 	 0.1324 	 0.664444 	 450 	 104.8176 	 92.5997 	 76.2252 
10403.jpg 	 108953 	 221.9395 	 0.1977 	 0.664444 	 450 	 230.6434 	 218.8904 	 214.7938 
10502.jpg 	 84589 	 176.1369 	 0.1040 	 0.666667 	 450 	 178.5053 	 176.1832 	 169.6794 
10601.jpg 	 158974 	 86.5838 	 0.4861 	 0.664444 	 450 	 69.4467 	 88.5253 	 121.6814 
10602.jpg 	 129810 	 77.7205 	 0.2706 	 0.664444 	 450 	 84.2537 	 74.4581 	 77.4924 
10603.jpg 	 131468 	 54.6761 	 0.2328 	 0.666667 	 450 	 59.3175 	 52.7679 	 52.3428 
